filepath,label,label_index
/content/drive/MyDrive/DataSet_Voice/angry/1050_ITH_ANG_XX.wav,angry,0
/content/drive/MyDrive/DataSet_Voice/angry/1050_IEO_ANG_HI.wav,angry,0
/content/drive/MyDrive/DataSet_Voice/angry/1060_IEO_ANG_HI.wav,angry,0
/content/drive/MyDrive/DataSet_Voice/angry/1052_IOM_ANG_XX.wav,angry,0
/content/drive/MyDrive/DataSet_Voice/angry/1054_IEO_ANG_MD.wav,angry,0
/content/drive/MyDrive/DataSet_Voice/angry/1053_ITS_ANG_XX.wav,angry,0
/content/drive/MyDrive/DataSet_Voice/angry/1048_TSI_ANG_XX.wav,angry,0
/content/drive/MyDrive/DataSet_Voice/angry/1058_DFA_ANG_XX.wav,angry,0
/content/drive/MyDrive/DataSet_Voice/angry/1057_IWL_ANG_XX.wav,angry,0
/content/drive/MyDrive/DataSet_Voice/angry/1058_WSI_ANG_XX.wav,angry,0
/content/drive/MyDrive/DataSet_Voice/angry/1048_TIE_ANG_XX.wav,angry,0
/content/drive/MyDrive/DataSet_Voice/angry/1062_IWL_ANG_XX.wav,angry,0
/content/drive/MyDrive/DataSet_Voice/angry/1074_TSI_ANG_XX.wav,angry,0
/content/drive/MyDrive/DataSet_Voice/angry/1077_WSI_ANG_XX.wav,angry,0
/content/drive/MyDrive/DataSet_Voice/angry/1075_DFA_ANG_XX.wav,angry,0
/content/drive/MyDrive/DataSet_Voice/angry/1066_IOM_ANG_XX.wav,angry,0
/content/drive/MyDrive/DataSet_Voice/angry/1067_ITS_ANG_XX.wav,angry,0
/content/drive/MyDrive/DataSet_Voice/angry/1068_ITS_ANG_XX.wav,angry,0
/content/drive/MyDrive/DataSet_Voice/angry/1063_TIE_ANG_XX.wav,angry,0
/content/drive/MyDrive/DataSet_Voice/angry/1067_IOM_ANG_XX.wav,angry,0
/content/drive/MyDrive/DataSet_Voice/angry/1073_WSI_ANG_XX.wav,angry,0
/content/drive/MyDrive/DataSet_Voice/angry/1068_IOM_ANG_XX.wav,angry,0
/content/drive/MyDrive/DataSet_Voice/angry/1075_IWW_ANG_XX.wav,angry,0
/content/drive/MyDrive/DataSet_Voice/angry/1068_TIE_ANG_XX.wav,angry,0
/content/drive/MyDrive/DataSet_Voice/angry/1064_TSI_ANG_XX.wav,angry,0
/content/drive/MyDrive/DataSet_Voice/angry/1067_WSI_ANG_XX.wav,angry,0
/content/drive/MyDrive/DataSet_Voice/angry/1067_IEO_ANG_MD.wav,angry,0
/content/drive/MyDrive/DataSet_Voice/angry/1077_TSI_ANG_XX.wav,angry,0
/content/drive/MyDrive/DataSet_Voice/angry/1069_IEO_ANG_LO.wav,angry,0
/content/drive/MyDrive/DataSet_Voice/angry/1077_TIE_ANG_XX.wav,angry,0
/content/drive/MyDrive/DataSet_Voice/angry/1069_TAI_ANG_XX.wav,angry,0
/content/drive/MyDrive/DataSet_Voice/angry/1065_IEO_ANG_LO.wav,angry,0
/content/drive/MyDrive/DataSet_Voice/angry/1078_IEO_ANG_MD.wav,angry,0
/content/drive/MyDrive/DataSet_Voice/angry/1069_ITH_ANG_XX.wav,angry,0
/content/drive/MyDrive/DataSet_Voice/angry/1071_IWW_ANG_XX.wav,angry,0
/content/drive/MyDrive/DataSet_Voice/angry/1071_TIE_ANG_XX.wav,angry,0
/content/drive/MyDrive/DataSet_Voice/angry/1065_TAI_ANG_XX.wav,angry,0
/content/drive/MyDrive/DataSet_Voice/angry/1063_WSI_ANG_XX.wav,angry,0
/content/drive/MyDrive/DataSet_Voice/angry/1076_IWL_ANG_XX.wav,angry,0
/content/drive/MyDrive/DataSet_Voice/angry/1068_IWW_ANG_XX.wav,angry,0
/content/drive/MyDrive/DataSet_Voice/angry/1065_ITH_ANG_XX.wav,angry,0
/content/drive/MyDrive/DataSet_Voice/angry/1064_ITS_ANG_XX.wav,angry,0
/content/drive/MyDrive/DataSet_Voice/angry/1068_TSI_ANG_XX.wav,angry,0
/content/drive/MyDrive/DataSet_Voice/angry/1069_MTI_ANG_XX.wav,angry,0
/content/drive/MyDrive/DataSet_Voice/angry/1069_IOM_ANG_XX.wav,angry,0
/content/drive/MyDrive/DataSet_Voice/angry/1064_TIE_ANG_XX.wav,angry,0
/content/drive/MyDrive/DataSet_Voice/angry/1074_ITH_ANG_XX.wav,angry,0
/content/drive/MyDrive/DataSet_Voice/angry/1073_ITS_ANG_XX.wav,angry,0
/content/drive/MyDrive/DataSet_Voice/angry/1063_TSI_ANG_XX.wav,angry,0
/content/drive/MyDrive/DataSet_Voice/angry/1070_TIE_ANG_XX.wav,angry,0
/content/drive/MyDrive/DataSet_Voice/angry/1076_WSI_ANG_XX.wav,angry,0
/content/drive/MyDrive/DataSet_Voice/angry/1070_IEO_ANG_LO.wav,angry,0
/content/drive/MyDrive/DataSet_Voice/angry/1070_IWL_ANG_XX.wav,angry,0
/content/drive/MyDrive/DataSet_Voice/angry/1067_IWL_ANG_XX.wav,angry,0
